(59.24695428088106, 1.4414682108911072)
(61.11400393937207, 1.486949181742458)
(57.43221230818922, 1.3972614452127754)
(59.58297002013352, 1.4496534897202134)
(63.87499839763394, 1.5542064761083947)
(58.184067538687806, 1.415576494128175)
(34.481809552982085, 0.8381940449487812)
(61.11400393937207, 1.486949181742458)
(43.07181171071857, 1.0474448465931332)
(56.64788537223314, 1.37815539179319)
(32.701844317266556, 0.7948344338994286)
(63.79355307916554, 1.5522224838035334)
(56.64788537223314, 1.37815539179319)
(59.24695428088106, 1.4414682108911072)
(63.14686993851708, 1.5364694067837905)
(48.88929438838772, 1.1891576065553693)
(63.98595318279344, 1.5569093133504073)
